boolean expression			布尔表达式
boolean value				布尔值
boolean type				布尔类型
break statement				break语句
conditional operator			条件运算符
fall-through behavior			向下贯通行为
opeand evaluation order			操作数求值顺序
operator associativity			运算符结合方向
operator precedence			运算符优先级
selection statement			条件语句
short-circuit evaluation		短路求值
